competitor,rank,points,competition,event,score
Sebrle,1,8217,Decastar,100m,11.04
Sebrle,1,8217,Decastar,long jump,7.58
Sebrle,1,8217,Decastar,shot put,14.83
Sebrle,1,8217,Decastar,high jump,2.07
Sebrle,1,8217,Decastar,400m,49.81
Sebrle,1,8217,Decastar,110m hurdle,14.69
Sebrle,1,8217,Decastar,discus,43.75
Sebrle,1,8217,Decastar,pole vault,5.02
Sebrle,1,8217,Decastar,javeline,63.19
Sebrle,1,8217,Decastar,1500m,291.7
Clay,2,8122,Decastar,100m,10.76
Clay,2,8122,Decastar,long jump,7.4
Clay,2,8122,Decastar,shot put,14.26
Clay,2,8122,Decastar,high jump,1.86
Clay,2,8122,Decastar,400m,49.37
Clay,2,8122,Decastar,110m hurdle,14.05
Clay,2,8122,Decastar,discus,50.72
Clay,2,8122,Decastar,pole vault,4.92
Clay,2,8122,Decastar,javeline,60.15
Clay,2,8122,Decastar,1500m,301.5
Karpov,3,8099,Decastar,100m,11.02
Karpov,3,8099,Decastar,long jump,7.3
Karpov,3,8099,Decastar,shot put,14.77
Karpov,3,8099,Decastar,high jump,2.04
Karpov,3,8099,Decastar,400m,48.37
Karpov,3,8099,Decastar,110m hurdle,14.09
Karpov,3,8099,Decastar,discus,48.95
Karpov,3,8099,Decastar,pole vault,4.92
Karpov,3,8099,Decastar,javeline,50.31
Karpov,3,8099,Decastar,1500m,300.2
Bernard,4,8067,Decastar,100m,11.02
Bernard,4,8067,Decastar,long jump,7.23
Bernard,4,8067,Decastar,shot put,14.25
Bernard,4,8067,Decastar,high jump,1.92
Bernard,4,8067,Decastar,400m,48.93
Bernard,4,8067,Decastar,110m hurdle,14.99
Bernard,4,8067,Decastar,discus,40.87
Bernard,4,8067,Decastar,pole vault,5.32
Bernard,4,8067,Decastar,javeline,62.77
Bernard,4,8067,Decastar,1500m,280.1
Yurkov,5,8036,Decastar,100m,11.34
Yurkov,5,8036,Decastar,long jump,7.09
Yurkov,5,8036,Decastar,shot put,15.19
Yurkov,5,8036,Decastar,high jump,2.1
Yurkov,5,8036,Decastar,400m,50.42
Yurkov,5,8036,Decastar,110m hurdle,15.31
Yurkov,5,8036,Decastar,discus,46.26
Yurkov,5,8036,Decastar,pole vault,4.72
Yurkov,5,8036,Decastar,javeline,63.44
Yurkov,5,8036,Decastar,1500m,276.4
Warners,6,8030,Decastar,100m,11.11
Warners,6,8030,Decastar,long jump,7.6
Warners,6,8030,Decastar,shot put,14.31
Warners,6,8030,Decastar,high jump,1.98
Warners,6,8030,Decastar,400m,48.68
Warners,6,8030,Decastar,110m hurdle,14.23
Warners,6,8030,Decastar,discus,41.1
Warners,6,8030,Decastar,pole vault,4.92
Warners,6,8030,Decastar,javeline,51.77
Warners,6,8030,Decastar,1500m,278.1
Zsivoczky,7,8004,Decastar,100m,11.13
Zsivoczky,7,8004,Decastar,long jump,7.3
Zsivoczky,7,8004,Decastar,shot put,13.48
Zsivoczky,7,8004,Decastar,high jump,2.01
Zsivoczky,7,8004,Decastar,400m,48.62
Zsivoczky,7,8004,Decastar,110m hurdle,14.17
Zsivoczky,7,8004,Decastar,discus,45.67
Zsivoczky,7,8004,Decastar,pole vault,4.42
Zsivoczky,7,8004,Decastar,javeline,55.37
Zsivoczky,7,8004,Decastar,1500m,268
Mcmullen,8,7995,Decastar,100m,10.83
Mcmullen,8,7995,Decastar,long jump,7.31
Mcmullen,8,7995,Decastar,shot put,13.76
Mcmullen,8,7995,Decastar,high jump,2.13
Mcmullen,8,7995,Decastar,400m,49.91
Mcmullen,8,7995,Decastar,110m hurdle,14.38
Mcmullen,8,7995,Decastar,discus,44.41
Mcmullen,8,7995,Decastar,pole vault,4.42
Mcmullen,8,7995,Decastar,javeline,56.37
Mcmullen,8,7995,Decastar,1500m,285.1
Martineau,9,7802,Decastar,100m,11.64
Martineau,9,7802,Decastar,long jump,6.81
Martineau,9,7802,Decastar,shot put,14.57
Martineau,9,7802,Decastar,high jump,1.95
Martineau,9,7802,Decastar,400m,50.14
Martineau,9,7802,Decastar,110m hurdle,14.93
Martineau,9,7802,Decastar,discus,47.6
Martineau,9,7802,Decastar,pole vault,4.92
Martineau,9,7802,Decastar,javeline,52.33
Martineau,9,7802,Decastar,1500m,262.1
Hernu,10,7733,Decastar,100m,11.37
Hernu,10,7733,Decastar,long jump,7.56
Hernu,10,7733,Decastar,shot put,14.41
Hernu,10,7733,Decastar,high jump,1.86
Hernu,10,7733,Decastar,400m,51.1
Hernu,10,7733,Decastar,110m hurdle,15.06
Hernu,10,7733,Decastar,discus,44.99
Hernu,10,7733,Decastar,pole vault,4.82
Hernu,10,7733,Decastar,javeline,57.19
Hernu,10,7733,Decastar,1500m,285.1
Barras,11,7708,Decastar,100m,11.33
Barras,11,7708,Decastar,long jump,6.97
Barras,11,7708,Decastar,shot put,14.09
Barras,11,7708,Decastar,high jump,1.95
Barras,11,7708,Decastar,400m,49.48
Barras,11,7708,Decastar,110m hurdle,14.48
Barras,11,7708,Decastar,discus,42.1
Barras,11,7708,Decastar,pole vault,4.72
Barras,11,7708,Decastar,javeline,55.4
Barras,11,7708,Decastar,1500m,282
Nool,12,7651,Decastar,100m,11.33
Nool,12,7651,Decastar,long jump,7.27
Nool,12,7651,Decastar,shot put,12.68
Nool,12,7651,Decastar,high jump,1.98
Nool,12,7651,Decastar,400m,49.2
Nool,12,7651,Decastar,110m hurdle,15.29
Nool,12,7651,Decastar,discus,37.92
Nool,12,7651,Decastar,pole vault,4.62
Nool,12,7651,Decastar,javeline,57.44
Nool,12,7651,Decastar,1500m,266.6
Bourguignon,13,7313,Decastar,100m,11.36
Bourguignon,13,7313,Decastar,long jump,6.8
Bourguignon,13,7313,Decastar,shot put,13.46
Bourguignon,13,7313,Decastar,high jump,1.86
Bourguignon,13,7313,Decastar,400m,51.16
Bourguignon,13,7313,Decastar,110m hurdle,15.67
Bourguignon,13,7313,Decastar,discus,40.49
Bourguignon,13,7313,Decastar,pole vault,5.02
Bourguignon,13,7313,Decastar,javeline,54.68
Bourguignon,13,7313,Decastar,1500m,291.7
Sebrle,1,8893,OlympicG,100m,10.85
Sebrle,1,8893,OlympicG,long jump,7.84
Sebrle,1,8893,OlympicG,shot put,16.36
Sebrle,1,8893,OlympicG,high jump,2.12
Sebrle,1,8893,OlympicG,400m,48.36
Sebrle,1,8893,OlympicG,110m hurdle,14.05
Sebrle,1,8893,OlympicG,discus,48.72
Sebrle,1,8893,OlympicG,pole vault,5
Sebrle,1,8893,OlympicG,javeline,70.52
Sebrle,1,8893,OlympicG,1500m,280.01
Clay,2,8820,OlympicG,100m,10.44
Clay,2,8820,OlympicG,long jump,7.96
Clay,2,8820,OlympicG,shot put,15.23
Clay,2,8820,OlympicG,high jump,2.06
Clay,2,8820,OlympicG,400m,49.19
Clay,2,8820,OlympicG,110m hurdle,14.13
Clay,2,8820,OlympicG,discus,50.11
Clay,2,8820,OlympicG,pole vault,4.9
Clay,2,8820,OlympicG,javeline,69.71
Clay,2,8820,OlympicG,1500m,282
Karpov,3,8725,OlympicG,100m,10.5
Karpov,3,8725,OlympicG,long jump,7.81
Karpov,3,8725,OlympicG,shot put,15.93
Karpov,3,8725,OlympicG,high jump,2.09
Karpov,3,8725,OlympicG,400m,46.81
Karpov,3,8725,OlympicG,110m hurdle,13.97
Karpov,3,8725,OlympicG,discus,51.65
Karpov,3,8725,OlympicG,pole vault,4.6
Karpov,3,8725,OlympicG,javeline,55.54
Karpov,3,8725,OlympicG,1500m,278.11
Macey,4,8414,OlympicG,100m,10.89
Macey,4,8414,OlympicG,long jump,7.47
Macey,4,8414,OlympicG,shot put,15.73
Macey,4,8414,OlympicG,high jump,2.15
Macey,4,8414,OlympicG,400m,48.97
Macey,4,8414,OlympicG,110m hurdle,14.56
Macey,4,8414,OlympicG,discus,48.34
Macey,4,8414,OlympicG,pole vault,4.4
Macey,4,8414,OlympicG,javeline,58.46
Macey,4,8414,OlympicG,1500m,265.42
Warners,5,8343,OlympicG,100m,10.62
Warners,5,8343,OlympicG,long jump,7.74
Warners,5,8343,OlympicG,shot put,14.48
Warners,5,8343,OlympicG,high jump,1.97
Warners,5,8343,OlympicG,400m,47.97
Warners,5,8343,OlympicG,110m hurdle,14.01
Warners,5,8343,OlympicG,discus,43.73
Warners,5,8343,OlympicG,pole vault,4.9
Warners,5,8343,OlympicG,javeline,55.39
Warners,5,8343,OlympicG,1500m,278.05
Zsivoczky,6,8287,OlympicG,100m,10.91
Zsivoczky,6,8287,OlympicG,long jump,7.14
Zsivoczky,6,8287,OlympicG,shot put,15.31
Zsivoczky,6,8287,OlympicG,high jump,2.12
Zsivoczky,6,8287,OlympicG,400m,49.4
Zsivoczky,6,8287,OlympicG,110m hurdle,14.95
Zsivoczky,6,8287,OlympicG,discus,45.62
Zsivoczky,6,8287,OlympicG,pole vault,4.7
Zsivoczky,6,8287,OlympicG,javeline,63.45
Zsivoczky,6,8287,OlympicG,1500m,269.54
Hernu,7,8237,OlympicG,100m,10.97
Hernu,7,8237,OlympicG,long jump,7.19
Hernu,7,8237,OlympicG,shot put,14.65
Hernu,7,8237,OlympicG,high jump,2.03
Hernu,7,8237,OlympicG,400m,48.73
Hernu,7,8237,OlympicG,110m hurdle,14.25
Hernu,7,8237,OlympicG,discus,44.72
Hernu,7,8237,OlympicG,pole vault,4.8
Hernu,7,8237,OlympicG,javeline,57.76
Hernu,7,8237,OlympicG,1500m,264.35
Nool,8,8235,OlympicG,100m,10.8
Nool,8,8235,OlympicG,long jump,7.53
Nool,8,8235,OlympicG,shot put,14.26
