cake,ingredient,quantity,measure
Angel,Almond essence,0.25,teaspoon
Angel,Cream of tartar,1.25,teaspoon
Angel,Egg white,10,one
Angel,Sifted flour,1,cup
Angel,Granulated sugar,1.5,cup
Angel,Salt,0.25,teaspoon
Angel,Vanilla extract,1,teaspoon
Babas au Rhum,Butter,0.25,cup
Babas au Rhum,Dried currants,3,tablespoon
Babas au Rhum,Eggs,1,one
Babas au Rhum,Egg yolk,2,one
Babas au Rhum,Sifted flour,1.75,cup
Babas au Rhum,Lemon rind,0.5,teaspoon
Babas au Rhum,Milk,0.25,cup
Babas au Rhum,Rum,2,ounce
Babas au Rhum,Granulated sugar,0.25,cup
Babas au Rhum,Water,0.25,cup
Babas au Rhum,Yeast,0.6,ounce
Sweet Chocolate,Butter,1,cup
Sweet Chocolate,Chocolate,4,ounce
Sweet Chocolate,Eggs,4,one
Sweet Chocolate,Sifted flour,2.5,cup
Sweet Chocolate,Milk,1,cup
Sweet Chocolate,Soda,1,teaspoon
Sweet Chocolate,Granulated sugar,2,cup
Sweet Chocolate,Salt,0.5,teaspoon
Sweet Chocolate,Vanilla extract,1,teaspoon
Sweet Chocolate,Water,0.5,cup
Buche de Noel,Eggs,4,one
Buche de Noel,Sifted flour,1,cup
Buche de Noel,Granulated sugar,1.3,cup
Buche de Noel,Salt,0.5,teaspoon
Buche de Noel,Vanilla extract,1,teaspoon
Cheesecake,Butter,0.25,cup
Cheesecake,Cottage Cheese,1.5,pound
Cheesecake,Eggs,6,one
Cheesecake,Sifted flour,0.25,cup
Cheesecake,Lemon juice,1,tablespoon
Cheesecake,Lemon rind,1,teaspoon
Cheesecake,Sour cream ,1,cup
Cheesecake,Granulated sugar,1,cup
Cheesecake,Salt,0.25,teaspoon
Cheesecake,Zwiebach,6,ounce
Rum Cheesecake,Cottage Cheese,1.5,pound
Rum Cheesecake,Eggs,2,one
Rum Cheesecake,Gelatin,2,tablespoon
Rum Cheesecake,Heavy cream,1,cup
Rum Cheesecake,Lemon juice,1,tablespoon
Rum Cheesecake,Lemon rind,1,teaspoon
Rum Cheesecake,Milk,1,cup
Rum Cheesecake,Rum,1,ounce
Rum Cheesecake,Granulated sugar,1,cup
Rum Cheesecake,Salt,0.25,teaspoon
Blender Cheesecake,Cottage Cheese,0.5,pound
Blender Cheesecake,Crushed Ice,1,cup
Blender Cheesecake,Crumbs,0.3,cup
Blender Cheesecake,Egg yolk,2,one
Blender Cheesecake,Gelatin,1,tablespoon
Blender Cheesecake,Lemon juice,1,tablespoon
Blender Cheesecake,Lemon rind,1,teaspoon
Blender Cheesecake,Sour cream ,1,cup
Blender Cheesecake,Water,0.5,cup
One Bowl Chocolate,Baking powder,2,teaspoon
One Bowl Chocolate,Cocoa,10,tablespoon
One Bowl Chocolate,Eggs,2,one
One Bowl Chocolate,Sifted flour,2,cup
One Bowl Chocolate,Milk,0.7,cup
One Bowl Chocolate,Soda,0.5,teaspoon
One Bowl Chocolate,Shortening,10,tablespoon
One Bowl Chocolate,Granulated sugar,1.5,cup
One Bowl Chocolate,Salt,0.25,teaspoon
One Bowl Chocolate,Vanilla extract,1,teaspoon
One Bowl Chocolate,Water,0.5,cup
Red Devil's Food,Cocoa,0.3,tablespoon
Red Devil's Food,Eggs,2,one
Red Devil's Food,Sifted flour,1.75,cup
Red Devil's Food,Milk,1,cup
Red Devil's Food,Soda,1.25,teaspoon
Red Devil's Food,Shortening,0.5,tablespoon
Red Devil's Food,Granulated sugar,1.5,cup
Red Devil's Food,Salt,1,teaspoon
Red Devil's Food,Vanilla extract,1,teaspoon
Sour Cream Fudge,Chocolate,3,ounce
Sour Cream Fudge,Eggs,2,one
Sour Cream Fudge,Sifted flour,2,cup
Sour Cream Fudge,Soda,1,teaspoon
Sour Cream Fudge,Sour cream ,1,cup
Sour Cream Fudge,Shortening,0.3,tablespoon
Sour Cream Fudge,Granulated sugar,1.5,cup
Sour Cream Fudge,Salt,1,teaspoon
Sour Cream Fudge,Vanilla extract,1,teaspoon
Sour Cream Fudge,Water,0.25,cup
Hungarian Cream,Almond essence,1.5,teaspoon
Hungarian Cream,Baking powder,3,teaspoon
Hungarian Cream,Eggs,3,one
