person_id,test_time,education,childhood,gender,age,hand,familysize,rwa
1,129,University degree,Suburban,Male,18,Right,2,1.35
2,193,Graduate degree,Rural (country side),Male,62,Right,3,1.95
3,238,Less than high school,Suburban,Male,16,Right,2,4.7
4,140,University degree,Suburban,Female,59,Right,3,1.25
5,455,High school,"Urban (town, city)",Female,49,Both,1,2.6
6,198,High school,"Urban (town, city)",Male,29,Right,3,2.95
7,515,High school,"Urban (town, city)",Female,22,Right,1,1.2
8,390,High school,"Urban (town, city)",Male,55,Left,8,2.25
9,269,High school,"Urban (town, city)",Male,24,Right,3,1.05
10,162,High school,Suburban,Female,18,Right,2,1.8
11,165,High school,Suburban,Female,15,Left,2,1.25
12,189,University degree,Suburban,Female,35,Left,2,2.45
13,116,High school,Rural (country side),Male,50,Right,3,1.45
14,237,University degree,Suburban,Male,31,Right,3,1.6
15,193,High school,"Urban (town, city)",Female,18,Right,2,5.7
16,267,University degree,Rural (country side),Female,28,Right,4,2.2
17,243,High school,"Urban (town, city)",Female,18,Right,3,1.7
18,159,Less than high school,"Urban (town, city)",Female,18,Right,2,1.15
19,148,University degree,"Urban (town, city)",Male,20,Right,2,4.65
20,141,Graduate degree,"Urban (town, city)",Female,32,Right,1,1.65
21,145,University degree,Suburban,Male,53,Right,4,1.55
22,388,University degree,Suburban,Female,28,Right,3,2.35
23,NA,University degree,Suburban,Male,20,Right,2,1.5
24,410,Graduate degree,Rural (country side),Female,26,Right,5,4.7
25,162,Graduate degree,"Urban (town, city)",Female,31,Right,1,1.25
26,275,High school,"Urban (town, city)",Female,15,Right,2,2.8
27,305,High school,Suburban,Male,24,Right,4,2.75
28,114,Graduate degree,Suburban,Female,32,Right,2,2.05
29,134,Graduate degree,Suburban,Male,44,Right,5,1.2
30,176,NA,Suburban,Female,62,Right,2,5.35
31,170,University degree,"Urban (town, city)",Female,26,Right,3,4.2
32,262,University degree,Suburban,Female,30,Right,2,1.85
33,485,University degree,Suburban,Other,56,Left,2,2.2
34,268,High school,Suburban,Male,18,Right,2,1.65
35,224,University degree,Suburban,Male,58,Right,1,5.3
36,72,High school,Suburban,Male,16,Both,2,1.55
37,86,High school,Rural (country side),Male,14,Right,3,7.55
38,170,High school,Suburban,Female,17,Right,2,3.5
39,179,High school,Suburban,Female,61,Right,2,2.35
40,194,High school,Suburban,Male,16,Right,2,3.65
41,231,Less than high school,Rural (country side),Female,48,Right,3,3.1
42,134,High school,"Urban (town, city)",Male,17,Both,2,2.35
43,139,University degree,Suburban,Male,25,Right,3,1.5
44,273,High school,"Urban (town, city)",Female,17,Right,4,2.6
45,174,High school,Suburban,Male,23,Both,2,3.8
46,197,Less than high school,Suburban,Other,16,Right,4,1.75
47,441,High school,Suburban,Male,18,Right,2,1.6
48,182,University degree,Rural (country side),Male,46,Right,2,5.35
49,145,High school,"Urban (town, city)",Male,34,Right,3,2.5
50,227,High school,"Urban (town, city)",Male,18,Both,1,1.65
51,118,High school,Suburban,Male,15,Right,4,6.2
52,165,University degree,Rural (country side),Male,18,Right,2,2.15
53,126,Less than high school,Suburban,Female,16,Right,4,3
54,NA,University degree,"Urban (town, city)",Male,49,Right,7,4.85
55,178,Less than high school,Suburban,Female,15,Right,2,1.95
56,201,University degree,Suburban,Female,30,Right,3,1.35
57,140,University degree,"Urban (town, city)",Male,22,Right,5,9
58,213,Less than high school,"Urban (town, city)",Male,15,Right,1,5.4
59,311,High school,Suburban,Male,14,Right,2,1.8
60,371,University degree,"Urban (town, city)",Male,24,Right,2,2.95
61,NA,Less than high school,Suburban,Female,15,Left,2,1.95
62,177,High school,"Urban (town, city)",Female,21,Left,3,2.55
63,147,Less than high school,Suburban,Male,15,Right,1,3.5
64,227,University degree,Suburban,Male,53,Right,5,4.95
65,165,Less than high school,"Urban (town, city)",Female,15,Right,2,2.2
66,467,University degree,Suburban,Male,51,Right,2,2
67,309,High school,Suburban,Male,19,Right,3,2.9
68,146,High school,Suburban,Female,17,Right,2,1.4
69,252,High school,"Urban (town, city)",Male,42,Right,3,5.15
70,130,High school,"Urban (town, city)",Female,18,Right,NA,1.75
71,156,Less than high school,Rural (country side),Female,16,Right,3,1.75
72,433,High school,Rural (country side),Female,18,Right,2,1.7
73,321,Less than high school,Suburban,Female,17,Right,2,3.35
74,141,Graduate degree,Rural (country side),Male,36,Right,1,4.8
75,470,University degree,"Urban (town, city)",Female,19,Right,1,1.6
76,133,University degree,"Urban (town, city)",Female,25,Right,2,6.3
77,195,High school,"Urban (town, city)",Male,19,Right,3,2.3
78,230,Graduate degree,"Urban (town, city)",Male,24,Right,2,1.35
79,219,High school,Suburban,Female,21,Right,2,2.7
80,121,University degree,NA,Male,49,Right,2,3.55
81,354,University degree,Suburban,Male,61,Right,3,2.6
82,162,University degree,"Urban (town, city)",Male,23,Right,3,4.3
83,294,University degree,Suburban,Male,24,Right,3,1.7
84,84,High school,"Urban (town, city)",Male,16,Right,2,3.35
85,NA,University degree,Suburban,Male,24,Right,1,4.35
86,165,High school,"Urban (town, city)",Female,17,Right,2,1.25
87,199,Graduate degree,Rural (country side),Male,28,Right,2,1.7
88,228,High school,Suburban,Female,14,Right,3,1.25
89,448,University degree,Rural (country side),Female,23,Right,4,1.45
90,150,NA,"Urban (town, city)",Female,18,Right,2,1.75
91,351,Less than high school,Suburban,Male,16,Right,3,2.15
92,203,Graduate degree,Rural (country side),Male,33,Left,1,1.8
93,110,High school,Suburban,Female,26,Right,3,1.15
94,236,Graduate degree,Suburban,Female,33,Both,1,5.25
95,427,High school,Suburban,Male,23,Right,3,1.95
96,129,High school,"Urban (town, city)",Male,17,Right,2,1.35
97,377,Less than high school,"Urban (town, city)",Female,15,Right,3,7.5
98,171,Less than high school,Suburban,Female,14,Right,3,3.9
99,179,University degree,"Urban (town, city)",Female,22,Right,3,1.263157894736842
100,228,University degree,Suburban,Female,64,Right,3,3
101,411,University degree,"Urban (town, city)",Male,69,Right,1,2.25
102,165,High school,"Urban (town, city)",Female,44,Right,5,1.75
103,219,University degree,Rural (country side),Female,41,Right,2,2.3
104,139,High school,"Urban (town, city)",Female,46,Right,4,1.7
105,503,Graduate degree,"Urban (town, city)",Male,42,Left,1,1.6
106,567,Less than high school,Suburban,Male,15,Both,2,3.65
107,304,Graduate degree,Suburban,Female,37,Right,5,1.65
108,213,High school,Suburban,Male,19,Right,2,3.35
109,378,Graduate degree,"Urban (town, city)",Male,32,Right,2,4.25
110,254,High school,"Urban (town, city)",Male,16,Right,3,4.8
111,214,Graduate degree,Suburban,Male,44,Right,2,4.1
112,235,University degree,"Urban (town, city)",Male,21,Right,2,2
113,252,High school,Suburban,Female,19,Right,2,3
114,225,Graduate degree,"Urban (town, city)",Male,29,Right,2,7.1
115,319,Graduate degree,"Urban (town, city)",Male,40,Right,2,5.25
116,169,High school,"Urban (town, city)",Other,16,Both,3,2.1
117,417,Less than high school,NA,Male,15,Right,3,1
118,244,Less than high school,Suburban,Male,27,Right,3,2.05
119,236,University degree,"Urban (town, city)",Male,24,Right,1,2.45
120,334,High school,Suburban,Other,21,Right,2,1.35
121,290,High school,"Urban (town, city)",Male,17,Right,1,6.15
122,305,High school,Suburban,Male,17,Right,1,3.5
123,208,High school,Rural (country side),Male,17,Right,3,2.15
124,260,High school,"Urban (town, city)",Male,17,Right,3,1.85
125,NA,University degree,Suburban,Male,56,Right,3,2.05
126,123,High school,Suburban,Male,24,Right,2,1.1
127,403,High school,Suburban,Male,22,Right,3,4.55
128,309,Less than high school,Suburban,Female,14,Right,2,1.4
129,94,High school,Suburban,Male,18,Right,2,2.1
130,233,High school,Suburban,Female,29,Right,1,2.65
131,597,High school,Suburban,Female,24,Right,1,7.65
132,454,High school,"Urban (town, city)",Male,19,Left,3,4.25
133,NA,University degree,Suburban,Male,26,Left,3,3.15
134,227,High school,"Urban (town, city)",Male,20,Right,1,2.15
135,217,High school,Rural (country side),Male,20,Left,4,1
136,347,High school,Suburban,Male,17,Right,2,3.9
137,370,Graduate degree,Rural (country side),Male,48,Left,3,2.95
138,188,Less than high school,Suburban,Female,16,Right,2,3.8
139,222,High school,Rural (country side),Female,38,Right,4,6.65
140,237,High school,Rural (country side),Female,17,Right,2,1.6
141,197,University degree,"Urban (town, city)",Female,39,Right,3,6.85
142,133,University degree,Suburban,Male,19,Right,2,1
143,217,High school,Suburban,Male,26,Right,2,3.7
144,168,Graduate degree,Rural (country side),Female,51,Right,5,1.95
145,360,Graduate degree,"Urban (town, city)",Male,31,Right,NA,1
146,446,High school,Suburban,Male,14,Right,4,2.65
147,232,High school,Rural (country side),Male,14,Right,2,2.75
148,131,High school,Suburban,Male,18,Both,1,3.15
149,166,High school,Suburban,Male,17,Right,1,1.9
150,525,High school,Suburban,Male,45,Right,3,2.3
151,165,University degree,Rural (country side),Male,23,Right,1,1.5
152,203,Graduate degree,Rural (country side),Male,30,Right,2,1.45
153,115,High school,"Urban (town, city)",Female,32,Right,4,1.25
154,234,University degree,Rural (country side),Male,28,Right,4,1.4
155,238,Less than high school,"Urban (town, city)",Female,14,Right,1,2.25
156,203,High school,"Urban (town, city)",Female,46,Right,3,2.25
157,357,High school,Rural (country side),Female,43,Right,2,3.55
158,256,Graduate degree,Rural (country side),Female,62,Right,3,2.4
159,187,High school,"Urban (town, city)",Male,18,Right,3,5.7
160,189,University degree,Rural (country side),Male,28,Right,NA,4.1
161,207,University degree,"Urban (town, city)",Female,20,Right,2,4.6
162,198,University degree,"Urban (town, city)",Male,23,Right,1,2.1
163,302,Less than high school,Suburban,Male,16,Right,3,4.85
164,272,Graduate degree,Rural (country side),Male,27,Right,2,1.55
165,308,Graduate degree,Suburban,Female,46,Right,2,3.05
166,199,Graduate degree,"Urban (town, city)",Male,24,Right,4,2.8
167,280,Less than high school,"Urban (town, city)",Female,14,Right,2,3.05
168,497,Graduate degree,"Urban (town, city)",Male,39,Right,2,4.55
169,300,Less than high school,"Urban (town, city)",Male,13,Right,2,4.55
170,150,High school,Suburban,Female,18,Right,2,5.6
171,276,High school,Suburban,Female,28,Right,4,8.9
172,266,University degree,"Urban (town, city)",Male,30,Right,1,1.85
173,251,Graduate degree,Suburban,Male,25,Right,2,2.95
174,256,High school,Suburban,Male,23,Left,3,2.55
175,203,High school,Suburban,Female,16,Both,3,3.6
176,119,University degree,Suburban,Male,26,Right,1,3.4
177,354,High school,Rural (country side),Male,33,Right,1,3.4
178,150,University degree,Suburban,Male,57,Right,6,1.05
179,204,High school,Suburban,NA,17,Right,1,6.95
180,296,Less than high school,Suburban,Male,17,Left,3,6.25
181,593,Graduate degree,Suburban,Male,29,Right,2,1.95
182,372,Less than high school,Suburban,Other,17,Right,3,1.25
183,351,High school,Suburban,Male,20,Right,2,2.6
184,140,Less than high school,Suburban,Female,15,Right,2,1.45
185,251,High school,Suburban,Male,21,Right,3,1.55
186,388,High school,Rural (country side),Male,52,Right,1,3.8
187,397,University degree,Suburban,Female,27,Right,2,3.45
188,117,High school,"Urban (town, city)",Female,18,Right,3,1
189,138,High school,Suburban,Male,14,Right,3,1.1
190,NA,Graduate degree,"Urban (town, city)",Male,24,Right,2,5.2
191,148,University degree,"Urban (town, city)",Female,39,Right,2,2.25
192,207,High school,Suburban,Male,16,Both,2,4
193,292,High school,Suburban,Female,43,Right,1,2.35
194,149,University degree,"Urban (town, city)",Female,30,Right,2,1.05
195,339,Graduate degree,Rural (country side),Female,25,Right,6,1
196,102,High school,Suburban,Male,17,Right,2,2.05
197,374,High school,"Urban (town, city)",Female,51,Right,3,3.3
198,243,High school,"Urban (town, city)",Female,36,Right,1,1.7
199,113,High school,"Urban (town, city)",Male,25,Right,3,3.4
200,203,Less than high school,Suburban,Female,16,Left,2,1.85
201,295,High school,"Urban (town, city)",Male,21,Right,4,6.7
202,181,Graduate degree,Suburban,Female,44,Left,2,1.55
203,152,High school,Suburban,Male,16,Right,3,4.7
204,233,Graduate degree,Rural (country side),Other,50,Right,3,2.4
205,182,University degree,Rural (country side),Female,28,Right,3,5.7
206,126,Less than high school,Rural (country side),Other,15,Right,1,1
207,261,Less than high school,Suburban,Female,16,Right,3,1
208,153,High school,Rural (country side),Male,45,Left,1,1.2
209,305,High school,"Urban (town, city)",Female,16,Right,3,2.2
210,177,High school,"Urban (town, city)",Female,18,Right,1,1.5
211,228,High school,Suburban,Male,21,Right,2,1.8
212,281,University degree,Rural (country side),Female,19,Right,3,1.4
213,164,High school,"Urban (town, city)",Female,18,Right,2,2.1
214,252,High school,Rural (country side),Female,19,Left,3,3.1
215,286,High school,"Urban (town, city)",Male,24,Right,4,5.85
216,357,High school,"Urban (town, city)",Male,15,Right,2,1.95
217,258,Less than high school,Rural (country side),Male,15,Right,3,4.95
218,381,High school,Rural (country side),Female,73,Right,5,2.7
219,164,Less than high school,Suburban,Male,17,Right,2,2.75
220,475,High school,"Urban (town, city)",Male,17,Right,2,2.1
221,183,University degree,Rural (country side),Male,27,Right,2,2.25
222,138,Less than high school,"Urban (town, city)",Female,18,Right,3,2.55
223,219,University degree,Suburban,Female,29,Right,1,1.95
224,146,Graduate degree,"Urban (town, city)",Male,28,Right,1,9
225,158,University degree,Suburban,Male,22,Right,2,6.05
226,121,University degree,Suburban,Male,20,Right,3,1
227,NA,High school,Suburban,Male,18,Right,2,6
228,113,Less than high school,Suburban,Female,16,Right,3,2.45
229,100,High school,Suburban,Male,19,Right,1,2
230,266,High school,"Urban (town, city)",Male,26,Right,2,1.55
231,NA,Less than high school,Suburban,Male,17,Right,2,3.4
232,381,Less than high school,"Urban (town, city)",Female,29,Right,2,3.4
233,250,University degree,Suburban,Male,22,Right,1,2.35
234,124,University degree,Suburban,Female,28,Left,2,1.2
235,131,Less than high school,"Urban (town, city)",Male,15,Right,2,8.45
236,NA,University degree,Suburban,Female,50,Left,2,2.6
237,333,University degree,"Urban (town, city)",Male,29,Right,2,6.15
238,238,High school,Suburban,Male,18,Right,4,3.05
239,260,University degree,"Urban (town, city)",Male,19,Right,1,2.75
240,283,University degree,NA,Male,65,Right,3,3.25
241,188,High school,"Urban (town, city)",Female,47,Right,4,4.15
242,93,High school,Rural (country side),Other,18,Right,2,1.2
243,NA,High school,Suburban,Male,47,Right,7,2.2
244,134,High school,Suburban,Male,17,Right,3,8.2
245,331,High school,"Urban (town, city)",Male,19,Right,1,1.45
246,252,University degree,Rural (country side),Male,21,Right,2,7.2
247,164,High school,Suburban,Male,16,Right,1,9
248,285,High school,"Urban (town, city)",Male,24,Right,1,7.35
249,124,Graduate degree,"Urban (town, city)",Female,29,Left,2,1.8
250,255,Graduate degree,"Urban (town, city)",Male,25,Right,3,7.8
251,199,University degree,Rural (country side),Female,30,Right,3,6.9
252,367,Graduate degree,Rural (country side),Male,43,Right,3,3.35
253,265,High school,"Urban (town, city)",Male,19,Right,2,2.25
254,219,University degree,"Urban (town, city)",Male,21,Right,NA,1
